,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0776-66-6123,http://www.corolla-fukui.jp/,,,,,,,,丸岡店,坂井市丸岡町高柳１１－２８－２,0776-66-6123,●,●,●,●,,
1,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0776-53-1200,http://www.corolla-fukui.jp/,,,,,,,,中央店,福井市　開発５丁目１００３,0776-53-1200,●,,●,●,,
2,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0779-65-1200,http://www.corolla-fukui.jp/,,,,,,,,大野店,大野市　中野　９－１９－１,0779-65-1200,●,,●,●,,
3,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0770-25-1200,http://www.corolla-fukui.jp/,,,,,,,,敦賀店,敦賀市　野神　２５－１０－１,0770-25-1200,●,,●,●,,
4,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0778-22-1889,http://www.corolla-fukui.jp/,,,,,,,,武生店,越前市　新保町　６－７,0778-22-1889,●,●,●,●,,
5,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0770-56-2533,http://www.corolla-fukui.jp/,,,,,,,,小浜店,小浜市　多田　９－７,0770-56-2533,●,,●,●,,
6,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0776-38-0200,http://www.corolla-fukui.jp/,,,,,,,,福井店,福井市　今市町　６２－１６,0776-38-0200,●,●,●,●,,
7,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0776-38-0206,http://www.corolla-fukui.jp/,,,,,,,,福井店（中古車展示場）,福井市今市町　６２－４,0776-38-0206,,●,●,,,
8,トヨタカローラ福井株式会社,福井市志比口１丁目８－１,0776-72-3030,http://www.corolla-fukui.jp/,,,,,,,,坂井店,坂井市坂井町下関　３６－１１－１,0776-72-3030,●,,●,●,,
