,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ高松株式会社,香川県高松市香西南町４０４－１,087-882-7121,https://happynetz.co.jp,,,,,,,,やしの木店,高松市香西南町４０４－１,087-882-7121,●,●,●,●,,
1,ネッツトヨタ高松株式会社,香川県高松市香西南町４０４－１,0877-49-5411,https://happynetz.co.jp,,,,,,,,もみの木店,綾歌郡宇多津町東分　１５４７ー１,0877-49-5411,●,●,●,●,,
2,ネッツトヨタ高松株式会社,香川県高松市香西南町４０４－１,0875-23-1020,https://happynetz.co.jp,,,,,,,,まつの木店,観音寺市吉岡町２２３,0875-23-1020,●,●,●,●,,
3,ネッツトヨタ高松株式会社,香川県高松市香西南町４０４－１,087-840-7777,https://happynetz.co.jp,,,,,,,,マロニエ店,高松市下田井町３５５－１,087-840-7777,●,●,●,●,,
4,ネッツトヨタ高松株式会社,香川県高松市香西南町４０４－１,0789-55-0111,https://happynetz.co.jp,,,,,,,,東かがわトヨタ自動車販売本店,香川県東かがわ市西村１５０１番地１,0789-55-0111,●,●,●,●,,
