,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,055-227-3131,http://www.netz-yamanashi.com/,,,,,,,,本社セイリア店,甲府市国母５ー６ー１７,055-227-3131,●,,●,●,●,●
1,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,055-288-7077,http://www.netz-yamanashi.com/,,,,,,,,南アルプス店,南アルプス市上今諏訪５１３－１,055-288-7077,●,,●,●,,
2,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,0555-21-2101,http://www.netz-yamanashi.com/,,,,,,,,富士吉田店,富士吉田市下吉田６－２６－６２,0555-21-2101,●,,●,●,,
3,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,0554-43-8831,http://www.netz-yamanashi.com/,,,,,,,,都留店,都留市田野倉４５８,0554-43-8831,●,,●,●,,
4,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,055-284-0311,http://www.netz-yamanashi.com/,,,,,,,,南湖店,南アルプス市東南湖８７７,055-284-0311,●,,●,●,,
5,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,0554-63-4111,http://www.netz-yamanashi.com/,,,,,,,,上野原ＳＣ　ダイハツ上野原店,上野原市松留６３０,0554-63-4111,●,,●,●,,
6,ネッツトヨタ山梨株式会社,山梨県甲府市国母５－６－１７,055-222-7511,http://www.netz-yamanashi.com/,,,,,,,,U-Carセンター和戸,甲府市和戸町１７１－３,055-222-7511,,●,●,●,,
