,会社名,本社所在地,本社電話番号,本社HP,代表者,設立,資本金,売上高,従業員数,事業内容,関連会社,店舗,所在地,電話番号,新車,中古車,軽自動車,サービス,福祉車両,ウェルキャブステーション
0,ネッツトヨタ香川株式会社,香川県高松市木太町２６８１－５,087-861-1111,https://www.netzkagawa.com/,,,,,,,,本店,高松市木太町２６８１－５,087-861-1111,●,,●,●,,
1,ネッツトヨタ香川株式会社,香川県高松市木太町２６８１－５,087-861-1111,https://www.netzkagawa.com/,,,,,,,,屋島店・Ｕステージ屋島,高松市高松町３００８－２２,087-843-4801,●,●,●,●,,
2,ネッツトヨタ香川株式会社,香川県高松市木太町２６８１－５,087-861-1111,https://www.netzkagawa.com/,,,,,,,,たかまつ中央店,高松市伏石町２１３４－７,087-866-5011,●,,●,●,,
3,ネッツトヨタ香川株式会社,香川県高松市木太町２６８１－５,087-861-1111,https://www.netzkagawa.com/,,,,,,,,空港通り店・Ｕステージ空港通り,高松市鹿角町２１－３,087-886-5001,●,●,●,●,,
4,ネッツトヨタ香川株式会社,香川県高松市木太町２６８１－５,087-861-1111,https://www.netzkagawa.com/,,,,,,,,東かがわ店,東かがわ市落合１２３－１,0879-25-3311,●,,●,●,,
5,ネッツトヨタ香川株式会社,香川県高松市木太町２６８１－５,087-861-1111,https://www.netzkagawa.com/,,,,,,,,まるがめ土器店・Ｕステージ丸亀,香川県　丸亀市土器町東６丁目４０,0877-23-3811,●,●,●,●,,
6,ネッツトヨタ香川株式会社,香川県高松市木太町２６８１－５,087-861-1111,https://www.netzkagawa.com/,,,,,,,,まるがめ田村店,丸亀市田村町７５０,0877-21-0811,●,,●,●,,
7,ネッツトヨタ香川株式会社,香川県高松市木太町２６８１－５,087-861-1111,https://www.netzkagawa.com/,,,,,,,,みとよ豊中店,三豊市豊中町上高野１８９１番地１,0875-62-5566,●,,●,●,,
